term,gene
ko01100,R120181830
ko04070,R120181830
ko04360,R120236830
ko04666,R120236830
ko04810,R120236830
ko05133,R120236830
ko05170,R120236830
ko00941,R120373430
ko01100,R120373430
ko01110,R120373430
ko04120,R120266410
ko04340,R120266410
ko04341,R120266410
ko04130,R120103130
ko04145,R120103130
ko05134,R120103130
ko00940,R120085210
ko01100,R120085210
ko01110,R120085210
ko04136,R120006130
ko04138,R120006130
ko04140,R120006130
ko05010,R120006130
ko05014,R120006130
ko05016,R120006130
ko05017,R120006130
ko05022,R120006130
ko00270,R120002320
ko01100,R120002320
ko03013,R120176620
ko05014,R120176620
ko05164,R120176620
ko00900,R120204690
ko01110,R120204690
ko03010,R120026860
ko05171,R120026860
ko00480,R120212260
ko01100,R120212260
ko00562,R120219480
ko01100,R120219480
ko04070,R120219480
ko04136,R120219480
ko04138,R120219480
ko04140,R120219480
ko04145,R120219480
ko04371,R120219480
ko05010,R120219480
ko05014,R120219480
ko05016,R120219480
ko05017,R120219480
ko05022,R120219480
ko05131,R120219480
ko05132,R120219480
ko05152,R120219480
ko05167,R120219480
ko03013,R120334880
ko04064,R120334880
ko04120,R120334880
ko05206,R120334880
ko00040,R120009900
ko01100,R120009900
ko02020,R120009900
ko04138,R120091660
ko04974,R120091660
ko04075,R120355110
ko00906,R120221490
ko01100,R120221490
ko01110,R120221490
ko03022,R120047460
ko05017,R120047460
ko05203,R120047460
ko04010,R120241960
ko00970,R120323750
ko03013,R120111380
ko00010,R120126860
ko00710,R120126860
ko01100,R120126860
ko01110,R120126860
ko01120,R120126860
ko01200,R120126860
ko01230,R120126860
ko04066,R120126860
ko05010,R120126860
ko05130,R120126860
ko05132,R120126860
ko04810,R120143620
ko05130,R120143620
ko05132,R120143620
ko00564,R120185950
ko01100,R120185950
ko05231,R120185950
ko04626,R120216990
ko04075,R120282190
ko02020,R120259400
ko00270,R120212830
ko00480,R120212830
ko01100,R120212830
ko01240,R120212830
ko04216,R120212830
ko04212,R120018650
ko04010,R120098030
